sentence_id,speaker,flattery
AAPL_103533_16_1,229,0
AAPL_103533_16_2,229,0
AAPL_103533_16_3,229,0
AAPL_103533_16_4,229,0
AAPL_103533_16_5,229,0
AAPL_103533_16_6,229,0
AAPL_103533_16_7,229,0
AAPL_103533_16_8,229,0
AAPL_103533_18_1,229,0
AAPL_103533_18_2,229,0
AAPL_103533_18_3,229,0
AAPL_103533_18_4,229,0
AAPL_103533_18_5,229,0
AAPL_103533_18_6,229,0
AAPL_103533_18_7,229,0
AAPL_103533_18_8,229,0
AAPL_103533_18_9,229,0
AAPL_103533_25_1,148,0
AAPL_103533_25_2,148,0
AAPL_103533_25_3,148,0
AAPL_103533_25_4,148,0
AAPL_103533_25_5,148,0
AAPL_103533_31_10,242,0
AAPL_103533_31_2,242,0
AAPL_103533_31_3,242,0
AAPL_103533_31_4,242,0
AAPL_103533_31_5,242,0
AAPL_103533_31_6,242,0
AAPL_103533_31_7,242,0
AAPL_103533_31_8,242,0
AAPL_103533_31_9,242,0
AAPL_103533_35_2,224,0
AAPL_103533_35_3,224,0
AAPL_103533_35_4,224,0
AAPL_103533_37_1,224,0
AAPL_103533_41_1,85,0
AAPL_103533_41_2,85,1
AAPL_103533_41_3,85,0
AAPL_103533_41_4,85,0
AAPL_103533_41_5,85,0
AAPL_103533_41_6,85,0
AAPL_103533_41_7,85,0
AAPL_103533_41_8,85,0
AAPL_103533_43_1,85,0
AAPL_103533_48_1,162,0
AAPL_103533_48_2,162,0
AAPL_103533_48_3,162,0
AAPL_103533_48_4,162,0
AAPL_103533_48_5,162,0
AAPL_103533_48_6,162,0
AAPL_103533_48_7,162,0
AAPL_103533_48_8,162,0
AAPL_103533_48_9,162,0
AAPL_103533_6_1,221,0
AAPL_103533_6_2,221,0
AAPL_103533_6_3,221,0
AAPL_103533_6_4,221,0
AAPL_103533_6_5,221,0
AAPL_103533_6_6,221,0
AAPL_107733_15_1,148,1
AAPL_107733_15_2,148,0
AAPL_107733_15_3,148,0
AAPL_107733_15_4,148,0
AAPL_107733_15_5,148,0
AAPL_107733_20_1,221,0
AAPL_107733_20_2,221,0
AAPL_107733_20_3,221,0
AAPL_107733_20_4,221,0
AAPL_107733_24_1,221,0
AAPL_107733_24_2,221,0
AAPL_107733_24_3,221,0
AAPL_107733_24_4,221,0
AAPL_107733_32_2,19,0
AAPL_107733_32_3,19,0
AAPL_107733_32_4,19,0
AAPL_107733_32_5,19,0
AAPL_107733_32_6,19,0
AAPL_107733_32_7,19,0
AAPL_107733_38_2,224,0
AAPL_107733_38_3,224,0
AAPL_107733_38_4,224,0
AAPL_107733_38_5,224,0
AAPL_107733_46_3,229,0
AAPL_107733_46_4,229,0
AAPL_107733_46_5,229,0
AAPL_107733_46_6,229,0
AAPL_107733_46_7,229,0
AAPL_107733_46_8,229,0
AAPL_107733_48_1,229,0
AAPL_107733_48_2,229,0
AAPL_107733_53_2,253,0
AAPL_107733_53_3,253,0
AAPL_107733_53_4,253,0
AAPL_107733_53_5,253,0
AAPL_107733_53_6,253,0
AAPL_107733_53_7,253,0
AAPL_107733_56_3,253,0
AAPL_107733_56_4,253,0
AAPL_107733_56_5,253,0
AAPL_107733_56_6,253,0
AAPL_107733_62_1,108,0
AAPL_107733_62_2,108,0
AAPL_107733_62_3,108,0
AAPL_107733_62_4,108,0
AAPL_107733_62_5,108,0
AAPL_107733_62_6,108,0
AAPL_107733_62_7,108,0
AAPL_107733_62_8,108,0
AAPL_107733_62_9,108,0
AAPL_107733_6_1,85,1
AAPL_107733_6_2,85,0
AAPL_107733_6_3,85,0
AAPL_107733_6_4,85,0
AAPL_107733_6_5,85,0
AAPL_107733_70_3,208,0
AAPL_107733_70_4,208,0
AAPL_107733_70_5,208,1
AAPL_107733_70_6,208,1
AAPL_107733_70_7,208,0
AAPL_107733_70_8,208,0
AAPL_107733_70_9,208,0
AAPL_111982_15_2,14,0
AAPL_111982_15_3,14,1
AAPL_111982_15_4,14,0
AAPL_111982_27_2,41,0
AAPL_111982_27_3,41,0
AAPL_111982_27_4,41,0
AAPL_111982_31_1,224,0
AAPL_111982_31_2,224,0
AAPL_111982_31_3,224,0
AAPL_111982_31_4,224,0
AAPL_111982_33_1,224,0
AAPL_111982_33_2,224,0
AAPL_111982_33_3,224,0
AAPL_111982_33_4,224,0
AAPL_111982_41_1,19,0
AAPL_111982_41_2,19,0
AAPL_111982_41_3,19,0
AAPL_111982_41_4,19,0
AAPL_111982_41_5,19,0
AAPL_111982_45_2,229,0
AAPL_111982_45_3,229,0
AAPL_111982_45_4,229,0
AAPL_111982_45_5,229,0
AAPL_111982_45_6,229,0
AAPL_111982_45_7,229,0
AAPL_111982_47_1,229,0
AAPL_111982_47_2,229,0
AAPL_111982_47_3,229,0
AAPL_111982_47_4,229,0
AAPL_111982_8_1,148,0
AAPL_111982_8_2,148,0
AAPL_111982_8_3,148,1
AAPL_121172_12_1,221,0
AAPL_121172_12_2,221,0
AAPL_121172_12_3,221,0
AAPL_121172_12_4,221,0
AAPL_121172_12_5,221,0
AAPL_121172_14_3,221,0
AAPL_121172_14_4,221,0
AAPL_121172_14_5,221,1
AAPL_121172_14_6,221,0
AAPL_121172_18_2,229,0
AAPL_121172_20_1,229,0
AAPL_121172_20_2,229,0
AAPL_121172_20_3,229,0
AAPL_121172_20_4,229,0
AAPL_121172_31_1,19,0
AAPL_121172_31_2,19,0
AAPL_121172_31_3,19,0
AAPL_121172_31_4,19,0
AAPL_121172_31_5,19,0
AAPL_121172_31_6,19,0
AAPL_121172_31_7,19,0
AAPL_121172_31_8,19,0
AAPL_121172_35_1,179,0
AAPL_121172_35_2,179,0
AAPL_121172_35_3,179,0
AAPL_121172_35_4,179,0
AAPL_121172_35_5,179,0
AAPL_121172_42_1,14,1
AAPL_121172_42_2,14,0
AAPL_121172_42_3,14,0
AAPL_121172_42_4,14,0
AAPL_121172_47_2,41,0
AAPL_121172_47_3,41,0
AAPL_121172_47_4,41,0
AAPL_121172_47_5,41,0
AAPL_121172_47_6,41,0
AAPL_121172_8_1,148,0
AAPL_121172_8_2,148,0
AAPL_121172_8_3,148,0
AAPL_125791_12_1,179,1
AAPL_125791_12_2,179,0
AAPL_125791_12_3,179,0
AAPL_125791_14_3,179,0
AAPL_125791_18_1,221,0
AAPL_125791_18_2,221,0
AAPL_125791_18_3,221,0
AAPL_125791_18_4,221,0
AAPL_125791_18_5,221,0
AAPL_125791_18_6,221,0
AAPL_125791_18_7,221,0
AAPL_125791_18_8,221,0
AAPL_125791_18_9,221,0
AAPL_125791_24_2,229,0
AAPL_125791_24_3,229,0
AAPL_125791_24_4,229,0
AAPL_125791_24_5,229,0
AAPL_125791_24_6,229,0
AAPL_125791_24_7,229,0
AAPL_125791_26_1,229,0
AAPL_125791_26_2,229,0
AAPL_125791_26_3,229,1
AAPL_125791_26_4,229,0
AAPL_125791_32_10,19,0
AAPL_125791_32_2,19,0
AAPL_125791_32_3,19,0
AAPL_125791_32_4,19,0
AAPL_125791_32_5,19,0
AAPL_125791_32_6,19,0
AAPL_125791_32_7,19,1
AAPL_125791_32_8,19,0
AAPL_125791_32_9,19,0
AAPL_125791_36_1,108,0
AAPL_125791_36_10,108,0
AAPL_125791_36_11,108,0
AAPL_125791_36_12,108,0
AAPL_125791_36_13,108,0
AAPL_125791_36_2,108,0
AAPL_125791_36_3,108,0
AAPL_125791_36_4,108,0
AAPL_125791_36_5,108,0
AAPL_125791_36_6,108,0
AAPL_125791_36_7,108,0
AAPL_125791_36_8,108,0
AAPL_125791_36_9,108,0
AAPL_125791_48_1,41,0
AAPL_125791_48_2,41,0
AAPL_125791_50_1,41,0
AAPL_125791_50_2,41,0
AAPL_125791_50_3,41,0
AAPL_125791_50_4,41,0
AAPL_125791_50_5,41,0
AAPL_125791_6_2,148,1
AAPL_125791_6_3,148,0
AAPL_125791_6_4,148,0
AAPL_125791_6_5,148,0
AAPL_125791_8_2,148,1
AAPL_125791_8_3,148,0
AAPL_125791_8_4,148,0
AAPL_128850_16_1,179,0
AAPL_128850_16_2,179,0
AAPL_128850_16_3,179,0
AAPL_128850_16_4,179,0
AAPL_128850_16_5,179,0
AAPL_128850_16_6,179,0
AAPL_128850_18_1,179,0
AAPL_128850_18_2,179,0
AAPL_128850_18_3,179,0
AAPL_128850_18_4,179,0
AAPL_128850_18_5,179,0
AAPL_128850_18_6,179,0
AAPL_128850_21_1,242,0
AAPL_128850_21_2,242,0
AAPL_128850_21_3,242,0
AAPL_128850_21_4,242,0
AAPL_128850_21_5,242,0
AAPL_128850_21_6,242,0
AAPL_128850_27_1,157,1
AAPL_128850_27_2,157,0
AAPL_128850_27_3,157,0
AAPL_128850_31_1,157,0
AAPL_128850_31_2,157,0
AAPL_128850_31_3,157,0
AAPL_128850_33_1,157,0
AAPL_128850_36_1,229,0
AAPL_128850_36_2,229,0
AAPL_128850_36_3,229,0
AAPL_128850_36_4,229,0
AAPL_128850_36_5,229,0
AAPL_128850_38_1,229,0
AAPL_128850_38_2,229,0
AAPL_128850_38_3,229,0
AAPL_128850_41_1,14,0
AAPL_128850_41_2,14,0
AAPL_128850_41_3,14,0
AAPL_128850_41_4,14,0
AAPL_128850_41_5,14,0
AAPL_128850_8_1,221,0
AAPL_128850_8_2,221,0
AAPL_133406_16_2,148,0
AAPL_133406_16_3,148,0
AAPL_133406_16_4,148,0
AAPL_133406_16_5,148,0
AAPL_133406_18_1,148,0
AAPL_133406_18_2,148,0
AAPL_133406_18_3,148,0
AAPL_133406_22_2,179,0
AAPL_133406_22_3,179,0
AAPL_133406_22_4,179,0
AAPL_133406_22_5,179,0
AAPL_133406_22_6,179,0
AAPL_133406_24_2,179,0
AAPL_133406_24_3,179,0
AAPL_133406_24_4,179,0
AAPL_133406_24_5,179,0
AAPL_133406_30_2,14,0
AAPL_133406_30_3,14,0
AAPL_133406_30_4,14,0
AAPL_133406_30_5,14,0
AAPL_133406_36_2,229,0
AAPL_133406_36_3,229,0
AAPL_133406_36_4,229,0
AAPL_133406_36_5,229,0
AAPL_133406_36_6,229,0
AAPL_133406_36_7,229,0
AAPL_133406_40_1,41,1
AAPL_133406_40_2,41,0
AAPL_133406_40_3,41,0
AAPL_133406_40_4,41,0
AAPL_133406_45_1,253,0
AAPL_133406_45_2,253,0
AAPL_133406_45_3,253,0
AAPL_133406_45_4,253,0
AAPL_133406_45_5,253,0
AAPL_133406_51_1,108,0
AAPL_133406_51_10,108,0
AAPL_133406_51_2,108,0
AAPL_133406_51_3,108,0
AAPL_133406_51_4,108,0
AAPL_133406_51_5,108,0
AAPL_133406_51_6,108,0
AAPL_133406_51_7,108,0
AAPL_133406_51_8,108,0
AAPL_133406_51_9,108,0
AAPL_133406_55_1,108,1
AAPL_133406_6_1,221,0
AAPL_133406_6_2,221,0
AAPL_133406_6_3,221,0
AAPL_137550_13_1,221,0
AAPL_137550_13_2,221,0
AAPL_137550_13_3,221,0
AAPL_137550_13_4,221,0
AAPL_137550_13_5,221,0
AAPL_137550_15_3,221,0
AAPL_137550_15_4,221,0
AAPL_137550_15_5,221,0
AAPL_137550_19_1,45,0
AAPL_137550_19_2,45,0
AAPL_137550_19_3,45,0
AAPL_137550_26_3,19,0
AAPL_137550_26_4,19,0
AAPL_137550_26_5,19,0
AAPL_137550_35_4,157,0
AAPL_137550_35_5,157,0
